job_company,job_date,job_salary,job_title
IBM_台灣國際商業機器股份有限公司,,待遇面議,(GBS) Application Developer –Cloud Microservice (170765BR)
IBM_台灣國際商業機器股份有限公司,,待遇面議,(GBS) Package Solution Consultant - SAP.Hana SD/ PP/ BPC/ FIN.CO/ MM (職缺代碼: 166444BR)
希格斯資訊科技有限公司,,"月薪 48,000~90,000元",全端 (前/後端) 軟體工程師 (.NET C#)
104人力銀行_一零四資訊科技股份有限公司,,待遇面議,資深前端工程師 Sr.Front-End Web Developer (前端工程部)
奇韋系統股份有限公司,,待遇面議,"程式設計師   起薪 60,000 起   第 2年 65,000 元起    從不加班   日工時 7 H    福利優"
104人力銀行_一零四資訊科技股份有限公司,,待遇面議,系統工程師
104人力銀行_一零四資訊科技股份有限公司,,待遇面議,PHP 資深工程師
IBM_台灣國際商業機器股份有限公司,,待遇面議,(GBS)Application Consultant-Agile & DevOps
104人力銀行_一零四資訊科技股份有限公司,,待遇面議,資深前端工程師 Sr.Front-End Web Developer (工作地點:南京復興)
IBM_台灣國際商業機器股份有限公司,,待遇面議,(GBS) Application Consultant-Mobile (職缺代碼: 169971BR)
小北百貨有限公司,4/19,"月薪 24,100元",台南區-資訊部-資訊組員
極限科技股份有限公司,4/19,待遇面議,Android 開發工程師
極限科技股份有限公司,4/19,"月薪 30,000~39,999元",網站前端工程師A
極限科技股份有限公司,4/19,待遇面議,iOS 開發工程師
極限科技股份有限公司,4/19,待遇面議,網站前端工程師B
六福旅遊集團_六福開發股份有限公司,4/19,待遇面議,(台北六福萬怡酒店)集團資訊處-程式開發副理
振弘科技股份有限公司,4/19,待遇面議, PC BASE 軟體自動控制工程師
極限科技股份有限公司,4/19,待遇面議,app/web PM專案經理
極限科技股份有限公司,4/19,待遇面議,網站後台Java開發工程師B
眾富廣告行銷工作室,4/19,時薪 150元/小時,網站程式設計師
極限科技股份有限公司,4/19,待遇面議,系統分析師
極限科技股份有限公司,4/19,"月薪 30,000~39,999元",網站後台Java開發工程師A
眾富廣告行銷工作室,4/19,時薪 150元/小時,SEO工程師
FUNDAY_智擎數位科技股份有限公司,4/18,待遇面議,客服專員(周休二日)
